the_date,client_id,api_endpoint,num_requests,avg_latency
12/25/17 0:00,dve7ifeawf0xeegigqamnvqy9qqm2y,GET /v5/channels/:id,2366,65
12/21/17 0:00,6x8avioex0zt85ht6py4sq55z6avsea,GET /v5/channels/:id,4255,91
1/1/18 0:00,dve7ifeawf0xeegigqamnvqy9qqm2y,GET /v5/streams/:id,80857,143
2/3/18 0:00,r62ryboyyhzbfs3ng6lln92w2op3wdz,GET /v3/channels/:login,17,58
1/14/18 0:00,8bmp6j83z5w4mepq0dn0q1a7g186azi,GET /v5/streams,1104,178
11/15/17 0:00,36v98kaawy48toz20d8gntnpk,GET /v5/channels/:channel_id/follows,10842,65
12/12/17 0:00,r1czfv4czh1ub7ejxi903njcwwzswz,GET /v5/channels/:channel_id/communities,17,77
2/1/18 0:00,r1czfv4czh1ub7ejxi903njcwwzswz,GET /v5/channels/:channel_id/community,1,8
2/3/18 0:00,33kozedd0zs6fbauka98psnc7zwom2s,GET /v5/channels/:id,130,248
1/17/18 0:00,sv6t1c3j2s5uuz3elxftm7s1bx54b31,GET /v3/channels/:channel/follows,64572,49
12/18/17 0:00,r62ryboyyhzbfs3ng6lln92w2op3wdz,GET /v3,41530,118
12/18/17 0:00,ye3x8sf0oh9oj4z0fu1bmvlkoyzn8l,GET /v3/search/games,12,89
11/20/17 0:00,pjldg61blqydhxlq49gyf2rwlcenw5,GET /v3/user/,12,36
1/31/18 0:00,pjldg61blqydhxlq49gyf2rwlcenw5,GET /v5/streams/:id,657997,20
1/10/18 0:00,664hk76z0hvg3zr5ej9j3tktbo0nf2n,GET /v3/user.json,1,45
11/16/17 0:00,pjldg61blqydhxlq49gyf2rwlcenw5,GET /v3/streams,31734,38
12/3/17 0:00,6x8avioex0zt85ht6py4sq55z6avsea,GET /v5/channels/:id,4935,100
2/10/18 0:00,dve7ifeawf0xeegigqamnvqy9qqm2y,GET /v5/streams/,882,114
12/19/17 0:00,r1czfv4czh1ub7ejxi903njcwwzswz,GET /v5/channels/:id,439,89
12/14/17 0:00,1z17331cvavqspfdm9h0qd1t6ovo5uo,GET /v3/channels/:channel/follows,39859,110
1/29/18 0:00,dve7ifeawf0xeegigqamnvqy9qqm2y,GET /v5/users/:user_id/follows/channels/:channel,7,172
11/28/17 0:00,1z17331cvavqspfdm9h0qd1t6ovo5uo,GET /v3/user,7,36
12/25/17 0:00,99c8xj3f82h6ho6hznh9jurmj5ciz74,GET /v3/user,729,42
11/15/17 0:00,36v98kaawy48toz20d8gntnpk,GET /v3/channel,10,216
2/10/18 0:00,8bmp6j83z5w4mepq0dn0q1a7g186azi,PUT /v5/channels/:id,285,371
11/15/17 0:00,36v98kaawy48toz20d8gntnpk,GET /v5/,633,94
1/11/18 0:00,r62ryboyyhzbfs3ng6lln92w2op3wdz,GET /v5/streams/:id,148,18
11/15/17 0:00,36v98kaawy48toz20d8gntnpk,GET /v3/ingests,19,42
1/21/18 0:00,tczdbjwvqwqcoykov1n9ircfju0yca6,GET /v3/user,8,49
12/30/17 0:00,dve7ifeawf0xeegigqamnvqy9qqm2y,GET /v5/channels/,1,3
11/23/17 0:00,r62ryboyyhzbfs3ng6lln92w2op3wdz,GET /v3,40817,126
11/17/17 0:00,664hk76z0hvg3zr5ej9j3tktbo0nf2n,GET /v5/channels/:id,112,18
